,price,latitude,longitude,accommodates,bedrooms,bathrooms,beds,cleaning_fee,guests_included,host_response_rate,availability_30,availability_60,availability_90,availability_365,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_location,review_scores_value,calculated_host_listings_count,extra_people,host_since,neighbourhood_Allston-Brighton,neighbourhood_Back Bay,neighbourhood_Beacon Hill,neighbourhood_Brookline,neighbourhood_Cambridge,neighbourhood_Charlestown,neighbourhood_Chestnut Hill,neighbourhood_Chinatown,neighbourhood_Dorchester,neighbourhood_Downtown,neighbourhood_Downtown Crossing,neighbourhood_East Boston,neighbourhood_Fenway/Kenmore,neighbourhood_Financial District,neighbourhood_Government Center,neighbourhood_Harvard Square,neighbourhood_Hyde Park,neighbourhood_Jamaica Plain,neighbourhood_Leather District,neighbourhood_Mattapan,neighbourhood_Mission Hill,neighbourhood_North End,neighbourhood_Roslindale,neighbourhood_Roxbury,neighbourhood_Somerville,neighbourhood_South Boston,neighbourhood_South End,neighbourhood_Theater District,neighbourhood_Unknown,neighbourhood_West End,neighbourhood_West Roxbury,require_guest_phone_verification_No,require_guest_phone_verification_Yes,bed_type_Airbed,bed_type_Couch,bed_type_Futon,bed_type_Pull-out Sofa,bed_type_Real Bed,room_type_Entire home/apt,room_type_Private room,room_type_Shared room,host_is_superhost_No,host_is_superhost_Yes,cancellation_policy_flexible,cancellation_policy_moderate,cancellation_policy_strict,cancellation_policy_super_strict_30,property_type_Apartment,property_type_Bed & Breakfast,property_type_Boat,property_type_Camper/RV,property_type_Condominium,property_type_Dorm,property_type_Entire Floor,property_type_Guesthouse,property_type_House,property_type_Loft,property_type_Other,property_type_Townhouse,property_type_Unknown,property_type_Villa,is_location_exact_No,is_location_exact_Yes
2940,65.0,42.29072925324577,-71.06456359983261,1,1.0,1.0,1.0,50.0,0,1.0,5,35,65,340,91.91666666666667,9.43157132512672,9.25804119985544,9.414042707202317,9.16823444283647,20,0.0,3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2941,65.0,42.31797688657727,-71.05501437734787,2,1.0,1.0,1.0,49.0,1,0.79,30,60,90,365,70.0,8.0,6.0,9.0,8.0,15,0.0,3119,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2942,72.0,42.31799209234161,-71.05715974386972,2,1.0,1.0,1.0,25.0,1,1.0,15,42,72,347,93.0,10.0,9.0,9.0,9.0,1,15.0,2548,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2943,68.0,42.31949173147648,-71.05423388043171,2,1.0,1.0,1.0,45.0,1,0.79,0,29,59,334,40.0,7.0,3.0,8.0,3.0,15,0.0,3119,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2944,70.0,42.3148951937513,-71.06119371442747,2,1.0,2.5,1.0,10.0,1,1.0,10,27,57,329,90.0,9.0,9.0,9.0,9.0,4,20.0,3327,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2945,125.0,42.32280313962162,-71.06184460563564,4,2.0,1.0,2.0,150.0,2,0.73,8,21,51,326,93.0,10.0,10.0,9.0,9.0,10,10.0,4717,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2946,150.0,42.322452560912375,-71.05807981393903,4,2.0,2.0,2.0,68.38014527845036,1,0.5,2,2,2,7,97.0,10.0,10.0,9.0,9.0,1,0.0,2466,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
2947,65.0,42.31873348916368,-71.05363169623132,1,1.0,1.0,1.0,25.0,1,0.8,0,0,0,248,89.0,9.0,9.0,9.0,9.0,4,20.0,4162,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2948,89.0,42.28090262228508,-71.08174416670713,4,2.0,1.0,3.0,50.0,4,0.88,14,44,74,136,83.0,9.0,8.0,8.0,9.0,1,25.0,3290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2949,70.0,42.31868652211072,-71.05484340601839,1,1.0,1.0,1.0,20.0,1,0.8,3,33,63,338,77.0,8.0,7.0,8.0,7.0,4,20.0,4162,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2950,52.0,42.282535052886175,-71.0862568309707,2,1.0,1.5,1.0,15.0,1,1.0,11,41,71,346,92.0,9.0,10.0,8.0,9.0,2,10.0,3589,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2951,38.0,42.288510735590464,-71.06963438614187,1,1.0,1.0,1.0,50.0,1,1.0,18,48,78,353,100.0,10.0,10.0,10.0,10.0,20,0.0,3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2952,165.0,42.29866324866309,-71.06087745921602,6,3.0,1.0,3.0,65.0,5,1.0,12,36,66,277,96.0,10.0,10.0,9.0,10.0,1,0.0,2444,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2953,80.0,42.32594687498613,-71.05921760667077,2,1.0,1.0,1.0,68.38014527845036,1,1.0,8,22,32,307,97.0,10.0,10.0,9.0,10.0,2,10.0,3040,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2954,135.0,42.32577477526832,-71.05806600292429,2,1.0,1.0,2.0,100.0,1,1.0,25,55,85,360,91.91666666666667,9.43157132512672,9.25804119985544,9.414042707202317,9.16823444283647,6,15.0,3074,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2955,60.0,42.3212429339795,-71.04362264778388,2,1.0,1.0,1.0,10.0,1,1.0,0,0,0,0,73.0,8.0,7.0,8.0,8.0,1,0.0,2364,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
2956,35.0,42.314864810404906,-71.06565961173087,3,1.0,1.5,2.0,68.38014527845036,1,1.0,0,2,2,160,94.0,9.0,9.0,8.0,10.0,1,35.0,2596,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
2957,44.0,42.30843741589858,-71.06104740136117,2,1.0,1.0,1.0,68.38014527845036,1,1.0,18,48,78,353,91.91666666666667,9.43157132512672,9.25804119985544,9.414042707202317,9.16823444283647,1,15.0,2772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2958,31.0,42.282725132135205,-71.07511891577971,1,1.0,1.0,1.0,50.0,0,1.0,0,0,0,256,73.0,8.0,9.0,5.0,8.0,20,0.0,3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2959,46.0,42.31226913622693,-71.0580059129187,1,1.0,1.0,1.0,49.0,1,0.79,24,54,84,359,71.0,8.0,6.0,8.0,8.0,15,0.0,3119,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2960,95.0,42.2815595713565,-71.0628876657312,4,1.0,1.0,2.0,75.0,2,0.91,18,48,78,78,40.0,4.0,6.0,8.0,4.0,1,10.0,3848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
